channelid,tvg-name,group-title,tvg-logo,channelname
840347058,广东卫视,广东,https://epg.v1.mk/logo/广东卫视.png,广东卫视
83789163,广东珠江,广东,https://epg.v1.mk/logo/广东珠江.png,广东珠江
8017,广东体育,广东,https://epg.v1.mk/logo/广东体育.png,广东体育
320917527,广东新闻,广东,https://epg.v1.mk/logo/广东新闻.png,广东新闻
10001723,广东民生,广东,https://epg.v1.mk/logo/广东民生.png,广东民生
6142,经济科教,广东,https://epg.v1.mk/logo/广东经济科教.png,经济科教
10001724,广东影视,广东,https://epg.v1.mk/logo/广东影视.png,广东影视
10001722,广东少儿,广东,https://epg.v1.mk/logo/广东少儿.png,广东少儿
6159,南方购物,广东,https://epg.v1.mk/logo/南方购物.png,南方购物
6237,南方购物-精选,广东,https://epg.v1.mk/logo/南方购物.png,南方购物-精选
6156,广东移动,广东,https://epg.v1.mk/logo/广东移动.png,广东移动
669448381,岭南戏曲,广东,https://epg.v1.mk/logo/岭南戏曲.png,岭南戏曲
320918165,嘉佳卡通,广东,https://epg.v1.mk/logo/嘉佳卡通.png,嘉佳卡通
10001721,大湾区卫视,广东,https://epg.v1.mk/logo/大湾区卫视.png,大湾区卫视
453207145,广州综合,广东,https://epg.v1.mk/logo/广州综合.png,广州综合
453206910,广州新闻,广东,https://epg.v1.mk/logo/广州新闻.png,广州新闻
840347070,深圳卫视,广东,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/深圳卫视.png,深圳卫视
10799,深圳都市,广东,https://epg.v1.mk/logo/深圳都市.png,深圳都市
10798,深圳电视剧,广东,https://epg.v1.mk/logo/深圳电视剧.png,深圳电视剧
46326580,深圳少儿,广东,https://epg.v1.mk/logo/深圳少儿.png,深圳少儿
3957,深圳宝安,广东,https://epg.v1.mk/logo/深圳宝安.png,深圳宝安
12578,深圳龙岗,广东,https://epg.v1.mk/logo/深圳龙岗.png,深圳龙岗
152099234,宜和购物,广东,https://epg.v1.mk/logo/深圳宜和购物.png,宜和购物
399596048,佛山综合,广东,https://epg.v1.mk/logo/佛山综合.png,佛山综合
399596050,佛山公共,广东,https://epg.v1.mk/logo/佛山城市生活.png,佛山城市生活
399596080,佛山顺德,广东,https://epg.v1.mk/logo/佛山顺德.png,佛山顺德
399595885,佛山南海,广东,https://epg.v1.mk/logo/佛山南海.png,佛山南海
494715300,东莞新闻,广东,https://epg.v1.mk/logo/东莞新闻综合.png,东莞新闻综合
494715304,东莞生活资讯,广东,https://epg.v1.mk/logo/东莞生活资讯.png,东莞生活资讯
10000306,HZTV1,广东,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/惠州综合.png,惠州综合
10000307,HZTV2,广东,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/惠州公共.png,惠州都市生活
112770345,珠海-1,广东,https://epg.v1.mk/logo/珠海-1.png,珠海新闻综合
340450272,江门综合,广东,https://epg.v1.mk/logo/江门综合.png,江门综合
410877386,中山综合,广东,https://epg.v1.mk/logo/中山综合.png,中山综合
10001407,肇庆新闻,广东,https://epg.v1.mk/logo/肇庆综合.png,肇庆新闻综合
10001408,肇庆生活服务,广东,https://epg.v1.mk/logo/肇庆生活服务.png,肇庆生活服务
364644555,汕头新闻综合,广东,https://epg.v1.mk/logo/汕头新闻综合.png,汕头新闻综合
364644547,汕头经济生活,广东,https://epg.v1.mk/logo/汕头经济生活.png,汕头经济生活
326214459,揭阳综合,广东,https://epg.v1.mk/logo/揭阳综合.png,揭阳综合
619977488,潮州综合,广东,https://epg.v1.mk/logo/潮州综合.png,潮州综合
619977335,潮州民生,广东,https://epg.v1.mk/logo/潮州民生.png,潮州民生
10001842,汕尾新闻综合,广东,https://epg.v1.mk/logo/汕尾新闻综合.png,汕尾新闻综合
