# 台标映射（可选）：频道名,tvg-logo
# 由 gdiptv-update 读取，用于给播放列表打 tvg-logo；删掉此文件也不影响播放
广东卫视,https://epg.v1.mk/logo/广东卫视.png
广东珠江,https://epg.v1.mk/logo/广东珠江.png
广东体育,https://epg.v1.mk/logo/广东体育.png
广东新闻,https://epg.v1.mk/logo/广东新闻.png
广东民生,https://epg.v1.mk/logo/广东民生.png
经济科教,https://epg.v1.mk/logo/广东经济科教.png
广东影视,https://epg.v1.mk/logo/广东影视.png
广东少儿,https://epg.v1.mk/logo/广东少儿.png
南方购物,https://epg.v1.mk/logo/南方购物.png
南方购物-精选,https://epg.v1.mk/logo/南方购物.png
广东移动,https://epg.v1.mk/logo/广东移动.png
岭南戏曲,https://epg.v1.mk/logo/岭南戏曲.png
嘉佳卡通,https://epg.v1.mk/logo/嘉佳卡通.png
大湾区卫视,https://epg.v1.mk/logo/大湾区卫视.png
广州综合,https://epg.v1.mk/logo/广州综合.png
广州新闻,https://epg.v1.mk/logo/广州新闻.png
深圳卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/深圳卫视.png
深圳都市,https://epg.v1.mk/logo/深圳都市.png
深圳电视剧,https://epg.v1.mk/logo/深圳电视剧.png
深圳少儿,https://epg.v1.mk/logo/深圳少儿.png
深圳宝安,https://epg.v1.mk/logo/深圳宝安.png
深圳龙岗,https://epg.v1.mk/logo/深圳龙岗.png
宜和购物,https://epg.v1.mk/logo/深圳宜和购物.png
佛山综合,https://epg.v1.mk/logo/佛山综合.png
佛山公共,https://epg.v1.mk/logo/佛山城市生活.png
佛山顺德,https://epg.v1.mk/logo/佛山顺德.png
佛山南海,https://epg.v1.mk/logo/佛山南海.png
东莞新闻,https://epg.v1.mk/logo/东莞新闻综合.png
东莞生活资讯,https://epg.v1.mk/logo/东莞生活资讯.png
HZTV1,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/惠州综合.png
HZTV2,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/惠州公共.png
